term,category,country,version_introduced,description
GSTIN,Identifier,IN,v1.0,"15-character GST Identification Number (state code + PAN + entity + Z + check)"
PAN,Identifier,IN,v1.0,"10-character Permanent Account Number"
CIN,Identifier,IN,v1.0,"21-character Corporate Identification Number"
IEC,Identifier,IN,v1.0,"10-digit Importer-Exporter Code"
IFSC,Identifier,IN,v1.0,"11-character Indian Financial System Code (bank routing)"
TAN,Identifier,IN,v1.0,"Tax Deduction and Collection Account Number"
EIN,Identifier,US,v4.0,"Employer Identification Number (XX-XXXXXXX)"
SSN,Identifier,US,v4.0,"Social Security Number (last 4 stored)"
ITIN,Identifier,US,v4.0,"Individual Taxpayer Identification Number"
ABA Routing,Identifier,US,v4.0,"American Bankers Association 9-digit routing number"
DUNS,Identifier,Universal,v4.0,"Dun & Bradstreet 9-digit identifier"
CBP Filer Code,Identifier,US,v4.0,"3-character customs broker filer ID"
USDOT Number,Identifier,US,v4.0,"Federal Motor Carrier ID"
MC Number,Identifier,US,v4.0,"Motor Carrier authority number"
MID,Identifier,US,v4.0,"Manufacturer ID for CBP entries"
Shipment,Logistics,Universal,v1.0,"A discrete movement of goods from origin to destination"
MBL,Logistics,Universal,v1.0,"Master Bill of Lading"
HBL,Logistics,Universal,v1.0,"House Bill of Lading"
Incoterms,Logistics,Universal,v1.0,"International Commercial Terms (FOB, CIF, etc.)"
TEU,Logistics,Universal,v1.0,"Twenty-foot Equivalent Unit"
DG Cargo,Logistics,Universal,v1.0,"Dangerous Goods (hazmat)"
Reefer,Logistics,Universal,v1.0,"Refrigerated container"
Bonded Warehouse,Logistics,Universal,v1.0,"Warehouse where goods stored without duty payment"
SCAC,Logistics,Universal,v4.0,"Standard Carrier Alpha Code (4-character carrier ID)"
CBP,Customs,US,v4.0,"US Customs and Border Protection"
ACE,Customs,US,v4.0,"Automated Commercial Environment"
ABI,Customs,US,v4.0,"Automated Broker Interface"
AES,Customs,US,v4.0,"Automated Export System"
EEI,Customs,US,v4.0,"Electronic Export Information"
ITN,Customs,US,v4.0,"Internal Transaction Number"
7501,Customs,US,v4.0,"CBP Form 7501 - Entry Summary"
3461,Customs,US,v4.0,"CBP Form 3461 - Entry/Immediate Delivery"
ATM,Customs,US,v4.0,"Authority to Make Entry"
POA,Customs,US,v4.0,"Power of Attorney"
ISF,Customs,US,v4.0,"Importer Security Filing (10+2 rule)"
HTSUS,Customs,US,v4.0,"Harmonized Tariff Schedule of the United States (10-digit)"
Schedule B,Customs,US,v4.0,"US export classification codes"
Continuous Bond,Customs,US,v4.0,"Annual customs bond covering multiple entries"
STB,Customs,US,v4.0,"Single Transaction Bond"
MPF,Customs,US,v4.0,"Merchandise Processing Fee"
HMF,Customs,US,v4.0,"Harbor Maintenance Fee"
Liquidation,Customs,US,v4.0,"Final CBP determination of duty"
Reconciliation (CBP),Customs,US,v4.0,"Adjusting entry-summary value when final value not known"
Drawback,Customs,US,v4.0,"Refund of duties on subsequently exported goods"
First Sale,Customs,US,v4.0,"Valuation method using first sale price"
C-TPAT,Customs,US,v4.0,"Customs-Trade Partnership Against Terrorism"
PGA,Customs,US,v4.0,"Partner Government Agency"
ICEGATE,Customs,IN,v1.0,"Indian Customs Electronic Gateway"
BOE,Customs,IN,v1.0,"Bill of Entry (import declaration)"
SB,Customs,IN,v1.0,"Shipping Bill (export declaration)"
IGM,Customs,IN,v1.0,"Import General Manifest"
EGM,Customs,IN,v1.0,"Export General Manifest"
SCMTR,Customs,IN,v1.0,"Sea Cargo Manifest and Transhipment Regulations"
LEO,Customs,IN,v1.0,"Let Export Order"
Out of Charge,Customs,IN,v1.0,"Customs release after BOE assessment"
Assessable Value,Customs,IN,v1.0,"CIF + 1% landing charges (Indian valuation)"
BCD,Customs,IN,v1.0,"Basic Customs Duty"
SWS,Customs,IN,v1.0,"Social Welfare Surcharge"
DBK,Customs,IN,v1.0,"Duty Drawback"
RoDTEP,Customs,IN,v1.0,"Remission of Duties and Taxes on Exported Products"
EPCG,Customs,IN,v1.0,"Export Promotion Capital Goods Scheme"
AEO,Customs,IN,v1.0,"Authorized Economic Operator"
DGFT,Customs,IN,v1.0,"Directorate General of Foreign Trade"
HSN,Classification,IN,v1.0,"Harmonized System Nomenclature (Indian)"
HS,Classification,Universal,v1.0,"Harmonized System (6-digit, WCO)"
SAC,Classification,IN,v1.0,"Services Accounting Code"
GST,Tax,IN,v1.0,"Goods and Services Tax"
CGST,Tax,IN,v1.0,"Central GST"
SGST,Tax,IN,v1.0,"State GST"
IGST,Tax,IN,v1.0,"Integrated GST (inter-state)"
ITC,Tax,IN,v1.0,"Input Tax Credit"
IRP,Tax,IN,v1.0,"Invoice Registration Portal"
IRN,Tax,IN,v1.0,"Invoice Reference Number"
e-Invoice,Tax,IN,v1.0,"IRN-stamped invoice"
GSTR-1,Tax,IN,v1.0,"Outward supplies return"
GSTR-3B,Tax,IN,v1.0,"Monthly summary return"
TDS,Tax,IN,v1.0,"Tax Deducted at Source"
TCS,Tax,IN,v1.0,"Tax Collected at Source"
Form 16A,Tax,IN,v1.0,"TDS certificate"
Sales Tax (US),Tax,US,v4.0,"State-level indirect tax"
Use Tax,Tax,US,v4.0,"Tax on tax-exempt purchases used in non-exempt way"
Nexus,Tax,US,v4.0,"Sufficient connection requiring tax collection"
Economic Nexus,Tax,US,v4.0,"Threshold-based nexus from sales volume"
Marketplace Facilitator,Tax,US,v4.0,"Platform required to collect tax"
NOMAD,Tax,US,v4.0,"States without sales tax: NH OR MT AK DE"
Form 1099-NEC,Tax,US,v4.0,"Nonemployee compensation"
Form 1099-MISC,Tax,US,v4.0,"Miscellaneous income"
Form 1099-K,Tax,US,v4.0,"Payment card and 3rd party network"
Form W-9,Tax,US,v4.0,"Request for Taxpayer Identification (US persons)"
Form W-8BEN,Tax,US,v4.0,"Foreign individual certification"
Backup Withholding,Tax,US,v4.0,"24% withholding when no W-9"
TIN Matching,Tax,US,v4.0,"IRS validation of name+TIN"
US GAAP,Accounting,US,v4.0,"Generally Accepted Accounting Principles (US)"
ASC 606,Accounting,US,v4.0,"Revenue recognition standard"
ASC 842,Accounting,US,v4.0,"Lease accounting standard"
SOX,Accounting,US,v4.0,"Sarbanes-Oxley Act"
Ind AS,Accounting,IN,v1.0,"Indian Accounting Standards (IFRS-converged)"
Section 138,Accounting,IN,v1.0,"Companies Act audit trail mandate"
ROC,Accounting,IN,v1.0,"Registrar of Companies"
ACH,Banking,US,v4.0,"Automated Clearing House"
BAI2,Banking,US,v4.0,"Bank Administration Institute file format"
Wire Transfer,Banking,US,v4.0,"Same-day electronic via Fedwire/SWIFT"
Lockbox,Banking,US,v4.0,"Bank-managed payment receipt service"
Positive Pay,Banking,US,v4.0,"Bank check fraud prevention"
NACH,Banking,IN,v1.0,"National Automated Clearing House"
IMPS,Banking,IN,v1.0,"Immediate Payment Service"
RTGS,Banking,IN,v1.0,"Real Time Gross Settlement"
NEFT,Banking,IN,v1.0,"National Electronic Funds Transfer"
UPI,Banking,IN,v1.0,"Unified Payments Interface"
e-Way Bill,Transport,IN,v1.0,"Mandatory electronic waybill"
EWB Part A/B,Transport,IN,v1.0,"Consignment data / Vehicle data"
NIC EWB,Transport,IN,v1.0,"NIC e-Way Bill portal"
FASTag,Transport,IN,v1.0,"RFID-based electronic toll collection"
FOIS,Transport,IN,v1.0,"Indian Railways Freight Operations Information System"
RTO,Transport,IN,v1.0,"Regional Transport Office"
PUC,Transport,IN,v1.0,"Pollution Under Control certificate"
DOT,Transport,US,v4.0,"Department of Transportation"
FMCSA,Transport,US,v4.0,"Federal Motor Carrier Safety Administration"
ELD,Transport,US,v4.0,"Electronic Logging Device"
HOS,Transport,US,v4.0,"Hours of Service"
RODS,Transport,US,v4.0,"Record of Duty Status"
11-hour rule,Transport,US,v4.0,"Max 11 hours driving after 10 off-duty"
14-hour rule,Transport,US,v4.0,"Max 14 hours from coming on-duty"
60/70-hour rule,Transport,US,v4.0,"Weekly cumulative driving limits"
34-hour restart,Transport,US,v4.0,"Reset weekly cycle"
IFTA,Transport,US,v4.0,"International Fuel Tax Agreement"
IRP (transport),Transport,US,v4.0,"International Registration Plan"
CDL,Transport,US,v4.0,"Commercial Driver's License"
CSA,Transport,US,v4.0,"Compliance Safety Accountability"
SKU,Warehouse,Universal,v1.0,"Stock Keeping Unit"
WMS,Warehouse,Universal,v1.0,"Warehouse Management System"
Cross-docking,Warehouse,Universal,v1.0,"Direct receive-to-ship"
Cycle Count,Warehouse,Universal,v1.0,"Periodic inventory count"
ABC Analysis,Warehouse,Universal,v1.0,"Inventory categorization by value"
EOQ,Warehouse,Universal,v1.0,"Economic Order Quantity"
FIFO/LIFO/FEFO,Warehouse,Universal,v1.0,"Inventory rotation methods"
3PL,Warehouse,Universal,v1.0,"Third-Party Logistics provider"
4PL,Warehouse,Universal,v1.0,"Lead Logistics Provider"
FTZ,Warehouse,US,v4.0,"Foreign Trade Zone"
Customs Bonded Warehouse,Warehouse,IN,v1.0,"Section 58 Customs Act warehouse"
SEZ,Warehouse,IN,v1.0,"Special Economic Zone"
EOU,Warehouse,IN,v1.0,"Export Oriented Unit"
Region,i18n,Universal,v4.0,"Geographic deployment area (~country)"
Locale,i18n,Universal,v4.0,"Language + Country (BCP 47)"
IANA tz,i18n,Universal,v4.0,"Internet Assigned Numbers Authority time zone DB"
Functional Currency,i18n,Universal,v4.0,"Tenant primary book-keeping currency"
Reporting Currency,i18n,Universal,v4.0,"Currency for consolidated reporting"
FX Revaluation,i18n,Universal,v4.0,"Period-end revaluation of foreign-currency"
Realized FX Gain/Loss,i18n,Universal,v4.0,"On settlement"
Unrealized FX Gain/Loss,i18n,Universal,v4.0,"On revaluation"
Money type,i18n,Universal,v4.0,"(decimal Amount string Currency)"
Region-Pinned Deployment,i18n,Universal,v4.0,"Tenant data in specific region"
Data Residency,i18n,Universal,v4.0,"Regulatory requirement that data stays in country"
Compliance Plugin Pattern,i18n,Universal,v4.0,"Refactor approach: Core + Country plugins"
